Datum,Klantennummer,Artikelnummer,IsLeeggoed,Omschrijving,AantalGeboekt,Basiseenheid,OmzetInEuroNaKorting,TotaleKorting
2016-09-15,101936,1001691,false,Delirium Nocturnum 24/33cl,24,FLES,25.54,0
2016-09-15,101936,1001695,false,White Pony Strongest than Ever 24/33cl,24,FLES,54.29,0
2016-09-15,101936,1001729,false,Pilaarbijter Blond 24/33cl,24,FLES,20.51,0
2016-09-15,101936,1001752,false,Achel Bruin 24/33cl,24,FLES,22.73,0
2016-09-15,101936,1001756,false,Trappiste 12 24/33cl,48,FLES,299.2,0
2016-09-15,101936,1001793,false,Dolle Brouwers Arabier 20/33cl,20,FLES,25.31,0
2016-09-15,101936,1001795,false,Steenbrugge Tripel 24/33cl,24,FLES,21.88,0
2016-09-15,101936,1001819,false,Bush Ambrée 24/33cl,72,FLES,66.31,0
2016-09-15,101936,1001822,false,Steenbrugge Blond 24/33cl,24,FLES,19.19,0
2016-09-15,101936,1001830,false,Brunehaut Blanche Bio 24/33cl,24,FLES,19.53,0
2016-09-15,101936,1001840,false,Blanche De Namur 12/75cl,24,FLES,33.08,0
2016-09-15,101936,1001865,false,Brunehaut Blonde Bio 24/33cl,48,FLES,38.9,0
2016-09-15,101936,1001903,false,Brugse Zot Blond 24/33cl,48,FLES,40.14,0
2016-09-15,101936,1001917,false,Caracole Saxo 24/33cl,24,FLES,21.85,0
2016-09-15,101936,1001918,false,Caracole Saxo 12/75cl,12,FLES,24.7,0
2016-09-15,101936,1001922,false,Cuvee de Ciney Blond 24/25cl,24,FLES,19.43,0
2016-09-15,101936,1001940,false,Chimay Blauw 24/33cl,24,FLES,25.6,0
2016-09-15,101936,1001957,false,Celis White beer 24/25cl,48,FLES,19.47,0
2016-09-15,101936,1001969,false,Duchesse De Bourgogne 24/25cl,24,FLES,18.86,0
2016-09-15,101936,1001983,false,De Koninck 24/25cl,72,FLES,37.19,0
2016-09-15,101936,1001999,false,Delirium Tremens 24/33cl,48,FLES,51.07,0
2016-09-15,101936,1002000,false,Delirium Tremens 12/75cl,24,FLES,80.95,0
2016-09-15,101936,1002037,false,Floreffe Tripel o.w. 24/33cl,24,FLES,22.53,0
2016-09-15,101936,1002045,false,De Ranke Guldenberg 24/33cl,24,FLES,21.53,0
2016-09-15,101936,1002052,false,Grimbergen Tripel 24/33cl,24,FLES,26.73,0
2016-09-15,101936,1002058,false,G.Carolus Tripel 24/33cl,48,FLES,43.1,0
2016-09-15,101936,1002059,false,G.Carolus Tripel 12/75cl,12,FLES,26.66,0
2016-09-15,101936,1002062,false,G.Carolus Classic 12/75cl,12,FLES,26.61,0
2016-09-15,101936,1002063,false,Gulden Draak 24/33cl,24,FLES,20.58,0
2016-09-15,101936,1002087,false,Hommelbier 24/25cl,24,FLES,14.44,0
2016-09-15,101936,1002088,false,Hommelbier 12/75cl,12,FLES,21.96,0
2016-09-15,101936,1002096,false,Hapkin 24/33cl,24,FLES,25.4,0
2016-09-15,101936,1002104,false,Hoegaarden Verb.Vrucht 24/33cl,24,FLES,26.6,0
2016-09-15,101936,1002105,false,Hoegaarden Witbier 24/25cl,48,FLES,23.7,0
2016-09-15,101936,1002121,false,Jupiler 0.0 N.A. 24/25cl,168,FLES,77.71,0
2016-09-15,101936,1002124,false,Karmeliet Tripel 24/33cl,96,FLES,80.24,0
2016-09-15,101936,1002125,false,"Karmeliet magnum 1,5L",1,FLES,9.61,0
2016-09-15,101936,1002132,false,Kasteelbier Donker 12/75cl (Uit productie),12,FLES,28.03,0
2016-09-15,101936,1002180,false,La Chouffe 12/75cl,36,FLES,71.42,0
2016-09-15,101936,1002186,false,Broeder Jacob Tripel 24/33cl,24,FLES,23.2,0
2016-09-15,101936,1002202,false,La Guillotine 24/33cl,24,FLES,25.58,0
2016-09-15,101936,1002220,false,Leffe Radieuse 24/33cl,24,FLES,27.24,0
2016-09-15,101936,1002231,false,La Trappe Tripel 24/33cl,24,FLES,23.77,0
2016-09-15,101936,1002256,false,Mc Chouffe 12/75cl,12,FLES,24.79,0
2016-09-15,101936,1002279,false,Mystic Krieken 24/25cl,24,FLES,15.22,0
2016-09-15,101936,1002285,false,De Dochter vd Korenaar Noblesse 24/33cl,24,FLES,24.58,0
2016-09-15,101936,1002292,false,Dolle Brouwers Oerbier 20/33cl,20,FLES,25.95,0
2016-09-15,101936,1002314,false,Pauwel Kwak 24/33cl,24,FLES,18.13,0
2016-09-15,101936,1002319,false,Pater Lieven Blond 24/33cl,24,FLES,17.91,0
2016-09-15,101936,1002321,false,Pater Lieven Tripel 24/33cl,24,FLES,23.32,0
2016-09-15,101936,1002326,false,Struise Pannepot 24/33cl,72,FLES,101.25,0
2016-09-15,101936,1002339,false,Petrus Blond 24/33cl,24,FLES,16.36,0
2016-09-15,101936,1002343,false,Petrus Tripel 24/33cl,24,FLES,19.41,0
2016-09-15,101936,1002353,false,Rodenbach 24/25cl,24,FLES,13.22,0
2016-09-15,101936,1002355,false,Rodenbach Grand Cru 24/33cl,24,FLES,23.11,0
2016-09-15,101936,1002357,false,Rochefort 10 24/33cl,24,FLES,34.97,0
2016-09-15,101936,1002359,false,Rochefort 8 24/33cl,24,FLES,23.34,0
2016-09-15,101936,1002362,false,Reinaert Grand Cru 24/33cl,24,FLES,17.86,0
2016-09-15,101936,1002363,false,Reinaert Tripel 24/33cl,24,FLES,17.84,0
2016-09-15,101936,1002370,false,St.Bernardus Prior 8 24/33cl,24,FLES,18.49,0
2016-09-15,101936,1002399,false,St.Feuillien Blond 12/75cl,12,FLES,24.83,0
2016-09-15,101936,1002402,false,St.Feuillien Tripel 24/33cl,24,FLES,23.06,0
2016-09-15,101936,1002407,false,Scheldebrouwerij Strandgaper 24/33cl,48,FLES,35.23,0
2016-09-15,101936,1002411,false,Straffe Hendrik Tripel 24/33cl,24,FLES,25.51,0
2016-09-15,101936,1002455,false,Achel Extra 12/75cl,12,FLES,44.01,0
2016-09-15,101936,1002461,false,Tongerlo Blond 24/33cl,24,FLES,21.22,0
2016-09-15,101936,1002498,false,Val-Dieu Blonde 24/33cl,24,FLES,20.35,0
2016-09-15,101936,1002529,false,Westmalle Dubbel 24/33cl,24,FLES,16.71,0
2016-09-15,101936,1002530,false,Westmalle Tripel 24/33cl,72,FLES,64.95,0
2016-09-15,101936,1002540,false,De Ranke XX-Bitter 24/33cl,24,FLES,19.55,0
2016-09-15,101936,1002549,false,Scheldebrouwerij Zeezuiper 24/33cl,48,FLES,38.94,0
2016-09-15,101936,1002560,false,Westmalle Dubbel 12/75cl,12,FLES,33.1,0
2016-09-15,101936,1002575,false,Arend Tripel 24/33cl,24,FLES,23.97,0
2016-09-15,101936,1002579,false,De Dochter vd Korenaar Bravoure 24/33cl,24,FLES,29.22,0
2016-09-15,101936,1003832,false,G.Carolus Cuvee vd Keizer Blauw 12/75cl,12,FLES,42.13,0
2016-09-15,101936,1003833,false,G.Carolus Cuvee vd Keizer Rood 12/75cl,12,FLES,37.9,0
2016-09-15,101936,1003846,false,La Trappe blond 24/33cl,24,FLES,20.46,0
2016-09-15,101936,1003871,false,Vedett Extra Blond 24/33cl,216,FLES,135.81,0
2016-09-15,101936,1003872,false,Vedett Extra White 24/33cl,120,FLES,75.45,0
2016-09-15,101936,1003903,false,Boerken 20/33cl,20,FLES,21.35,0
2016-09-15,101936,1004064,false,Brugse Zot Blond 12/75cl,12,FLES,30.34,0
2016-09-15,101936,1004067,false,Duchesse de Bourgogne 12/75cl,12,FLES,28.69,0
2016-09-15,101936,1004463,false,La Chouffe 24/33cl,120,FLES,109.3,0
2016-09-15,101936,1004464,false,Mc Chouffe 24/33cl,48,FLES,43.72,0
2016-09-15,101936,1004473,false,La Chouffe Houblon 12/75cl,12,FLES,33.87,0
2016-09-15,101936,1004543,false,Maneblusser 24/33cl,48,FLES,31.52,0
2016-09-15,101936,1004547,false,La Trappe Isid'or 24/33cl,24,FLES,23.62,0
2016-09-15,101936,1004668,false,Barbar Blond Beugel 20/33cl,20,FLES,15.84,0
2016-09-15,101936,1004696,false,Karmeliet Tripel 12/75cl,36,FLES,94.14,0
2016-09-15,101936,1004706,false,Pauwel Kwak 12/75cl,24,FLES,61.96,0
2016-09-15,101936,1004855,false,Kwaremont Blond 24/33cl,24,FLES,17.44,0
2016-09-15,101936,1005041,false,Omer 24/33cl,24,FLES,21.22,0
2016-09-15,101936,1005042,false,Omer 12/75cl,12,FLES,31.15,0
2016-09-15,101936,1005064,false,Struise Sint Amatus 2013 24/33cl,48,FLES,79.06,0
2016-09-15,101936,1005141,false,Mongozo premium pilsener 24/33cl,48,FLES,43.77,0
2016-09-15,101936,1005225,false,Vedett Blond Cans 24/33cl,96,BLIK,70.74,0
2016-09-15,101936,1005334,false,"Coopers Pale Ale 24/37,5cl",24,FLES,22.48,0
2016-09-15,101936,1005335,false,"Coopers Sparkling 24/37,5cl",24,FLES,22.53,0
2016-09-15,101936,1005336,false,"Coopers Stout 24/37,5cl",24,FLES,22.57,0
2016-09-15,101936,1005353,false,Delirium Red 24/33cl,24,FLES,25.45,0
2016-09-15,101936,1005364,false,De Dochter vd Korenaar Noblesse EO 24/33cl,24,FLES,32.45,0
2016-09-15,101936,1005427,false,John Martin's IPA 6/75cl,6,FLES,23.45,0
2016-09-15,101936,1005450,false,Struise Pannepot Grand Reserva 24/33cl,48,FLES,89.65,0
2016-09-15,101936,1005605,false,Hoegaarden Julius 24/33cl,24,FLES,22.37,0
2016-09-15,101936,1005616,false,Rodenbach Caractère Rouge 6/75cl,6,FLES,34.96,0
2016-09-15,101936,1005626,false,Wolf 7 24/33cl,24,FLES,19.04,0
2016-09-15,101936,1005819,false,Klets 24/33cl,24,FLES,23.16,0
2016-09-15,101936,1005916,false,De Dochter vd Korenaar Extase Double IPA 24/33cl,24,FLES,41.04,0
2016-09-15,101936,1006198,false,Brunehaut Triple Bio 24/33cl,48,FLES,46.27,0
2016-09-15,101936,1006293,false,Floreffe Double beugel 20/33cl,20,FLES,12.51,0
2016-09-15,101936,1006300,false,White Pony Black Sheep 24/33cl,24,FLES,35.63,0
2016-09-15,101936,1006321,false,Affligem Tripel 24/30cl,24,FLES,23.91,0
2016-09-15,101936,1006325,false,Vedett IPA 24/33cl,120,FLES,88.08,0
2016-09-15,101936,1006495,false,Straffe Hendrik Wild 24/33cl,48,FLES,55.79,0
2016-09-15,101936,1006604,false,Kwaremont Blond,6,FLES,15.86,0
2016-09-15,101936,1006638,false,Hop Verdomme,24,FLES,19.78,0
2016-09-15,101936,1007327,false,Evil Twin Molotov Simcoe Hop Edition IPA,12,FLES,66.73,0
2016-09-15,101936,1007338,false,Mort Subite Witte Lambic uit productie,24,FLES,16.51,0
2016-09-15,101936,1007422,false,Uiltje Joost mag het weten TIPA,24,FLES,61.45,0
2016-09-15,101936,1007425,false,Bootjesbier,48,FLES,41.37,0
2016-09-15,101936,1007857,false,Evil Twin I Love You With My Stout,24,FLES,59.58,0
2016-09-15,101936,1007983,false,Ezel,24,FLES,16.51,0
2016-09-15,101936,1008312,false,Mikkeller Big Worse Barley Wine 12/37.5cl,12,FLES,46.39,0
2016-09-15,101936,1008633,false,Lindemans Kriek Cuvée René,12,FLES,19.43,0
2016-09-15,101936,1008833,false,3 Fonteinen Cuvée Armand & Gaston,6,FLES,53.24,0
2016-09-15,101936,1008835,false,Mikkeller Beer Geek brunch weasel 24/33cl,24,FLES,77.7,0
2016-09-15,101936,1008916,false,Dugges Guyana,24,FLES,136.98,0
2016-09-15,101936,1008921,false,Dugges Barbados,24,FLES,137,0
2016-09-15,101936,1008922,false,Dugges Jamaica,24,FLES,136.98,0
2016-09-15,101936,1008987,false,"Uiltje Me, Myself and IPA",24,FLES,47.65,0
2016-09-15,101936,1009022,false,Barbar 12/75cl,12,FLES,24,0
2016-09-15,101936,1009028,false,"Dark Horse Plead The 5 th Imp.Stout 24/35,5cl",24,FLES,69.99,0
2016-09-15,101936,1009124,false,Pohjala ÖÖ XO 24/33cl,24,FLES,71.15,0
2016-09-15,101936,1009125,false,Pohjala Taara Avita 24/33cl,24,FLES,85.13,0
2016-09-15,101936,1009126,false,Pohjala Mutant Disco Tequila 24/33cl,24,FLES,85.96,0
2016-09-15,101936,E1180,true,"Leeggoed € 11,80",5,STUK,55.2,0
2016-09-15,101936,E1200,true,"Leeggoed € 12,00",-1,STUK,-12,0
2016-09-15,101936,E150,true,"Leeggoed € 1,50",-1,STUK,-1.5,0
2016-09-15,101936,E2000,true,"Leeggoed € 20,00",1,STUK,20,0
2016-09-15,101936,E210,true,"Leeggoed € 2,10",-103,STUK,-216.3,0
2016-09-15,101936,E240,true,"Leeggoed € 2,4",9,STUK,21.6,0
2016-09-15,101936,E280,true,Leeggoed € 2.80,4,STUK,11.2,0
2016-09-15,101936,E340,true,"Leeggoed € 3,40",1,STUK,3.4,0
2016-09-15,101936,E360,true,"Leeggoed € 3,60",-6,STUK,-21.6,0
2016-09-15,101936,E390,true,"Leeggoed € 3,9",-2,STUK,-7.8,0
2016-09-15,101936,E400,true,"Leeggoed € 4,00",1,STUK,4,0
2016-09-15,101936,E450,true,"Leeggoed € 4,50",28,STUK,126,0
2016-09-15,101936,E460,true,"Leeggoed € 4,60",-10,STUK,-46,0
2016-09-15,101936,E600,true,"Leeggoed € 6,00",-2,STUK,-12,0
2016-09-15,101936,E650,true,"Leeggoed € 6,50",2,STUK,13,0
2016-09-15,101936,E700,true,"Leeggoed € 7,00",3,STUK,21,0
2016-09-15,101936,E800,true,Leeggoed € 8,1,STUK,8,0
2016-09-15,101936,E810,true,"Leeggoed € 8,10",1,STUK,8.1,0
2016-09-15,102123,1001796,false,Achel blond 24/33cl,24,FLES,22.73,0
2016-09-15,102123,1001912,false,Caracole Winter 12/75cl,12,FLES,25,0
2016-09-15,102123,1002180,false,La Chouffe 12/75cl,36,FLES,71.42,0
2016-09-15,102123,1002213,false,Abbaye Des Rocs La Montagnarde 24/33cl,24,FLES,18.56,0
2016-09-15,102123,1002220,false,Leffe Radieuse 24/33cl,144,FLES,163.43,0
2016-09-15,102123,1002235,false,La Trappe Quadrupel 24/33cl,96,FLES,99.78,0
2016-09-15,102123,1002256,false,Mc Chouffe 12/75cl,12,FLES,24.79,0
2016-09-15,102123,1002297,false,Orval 24/33cl,48,FLES,46.93,0
2016-09-15,102123,1002314,false,Pauwel Kwak 24/33cl,96,FLES,72.54,0
2016-09-15,102123,1002357,false,Rochefort 10 24/33cl,24,FLES,34.97,0
2016-09-15,102123,1003253,false,La Trappe Witte Trappist 24/33cl,240,FLES,152.81,0
2016-09-15,102123,1003832,false,G.Carolus Cuvee vd Keizer Blauw 12/75cl,12,FLES,42.13,0
2016-09-15,102123,1004463,false,La Chouffe 24/33cl,48,FLES,43.72,0
2016-09-15,102123,1005608,false,"Chimay Grand Reserve Magnum 6/1,5l",12,FLES,129.96,0
2016-09-15,102123,1007390,false,Leffe Royale Cascade IPA,24,FLES,29.7,0
2016-09-15,102123,E240,true,"Leeggoed € 2,4",2,STUK,4.8,0
2016-09-15,102123,E450,true,"Leeggoed € 4,50",21,STUK,67.2,0
2016-09-15,101637,1001273,false,St.Bernardus Abt 12 vat 20L,8,STUK,435.85,0
2016-09-15,101637,1001428,false,"Boon Oude Gueuze 12/37,5cl",60,FLES,74.05,0
2016-09-15,101637,1001435,false,Boon Kriek 12/37.5cl,24,FLES,32.8,0
2016-09-15,101637,1001438,false,Boon Gueuze Mariage Parf. 12/37.5cl,60,FLES,98.32,0
2016-09-15,101637,1001440,false,Boon Kriek Mariage Parf. 12/37.5cl,36,FLES,90.13,0
2016-09-15,101637,1001940,false,Chimay Blauw 24/33cl,144,FLES,153.61,0
2016-09-15,101637,1001941,false,Chimay Grand Reserve 12/75cl,120,FLES,313.09,0
2016-09-15,101637,1001945,false,Chimay Cinq Cents 12/75cl,48,FLES,110.86,0
2016-09-15,101637,1001961,false,Duvel 24/33cl,96,FLES,79.48,0
2016-09-15,101637,1002326,false,Struise Pannepot 24/33cl,120,FLES,168.75,0
2016-09-15,101637,1002529,false,Westmalle Dubbel 24/33cl,72,FLES,50.12,0
2016-09-15,101637,1002530,false,Westmalle Tripel 24/33cl,72,FLES,64.96,0
2016-09-15,101637,1003833,false,G.Carolus Cuvee vd Keizer Rood 12/75cl,48,FLES,151.61,0
2016-09-15,101637,1004729,false,Kasteelbier Cuvée du Chateau vat 20L,2,VAT,134.11,0
2016-09-15,101637,1005071,false,Gulden Draak vat 20L,1,VAT,52.63,0
2016-09-15,101637,1005517,false,Duvel Tripel Hop 24/33cl,96,FLES,105.98,0
2016-09-15,101637,1005699,false,St.Bernardus Tripel Vat 20L,1,VAT,45.19,0
2016-09-15,101637,1006438,false,Corsendonk Agnus Blond 20L,20,VAT,1112.02,0
2016-09-15,101637,1006627,false,Oude Geuze 3 Fonteinen doos,60,FLES,173.03,0
2016-09-15,101637,1007578,false,Leffe blond vat,3,VAT,164.6,0
2016-09-15,101637,1008098,false,Spencer,48,FLES,88.46,0
2016-09-15,101637,1008099,false,Tre Fontane,36,FLES,129.42,0
2016-09-15,101637,1008654,false,Corsendonk Bruin,20,VAT,1069.05,0
2016-09-15,101637,E240,true,"Leeggoed € 2,4",13,STUK,31.2,0
2016-09-15,101637,E3000,true,"Leeggoed € 30,00",46,STUK,1380,0
2016-09-15,101637,E450,true,"Leeggoed € 4,50",41,STUK,131.2,0
2016-09-15,101637,E6000,true,Leeggoed € 60,9,STUK,540,0
2016-09-15,101497,1001430,false,Boon Framboise 12/37.5cl,12,FLES,21.81,0
2016-09-15,101497,1001435,false,Boon Kriek 12/37.5cl,12,FLES,16.4,0
2016-09-15,101497,1001528,false,"Oud Beersel Gueuze 12/37,5cl",12,FLES,26.8,0
2016-09-15,101497,1001961,false,Duvel 24/33cl,48,FLES,39.74,0
2016-09-15,101497,1001969,false,Duchesse De Bourgogne 24/25cl,24,FLES,18.86,0
2016-09-15,101497,1002124,false,Karmeliet Tripel 24/33cl,24,FLES,20.06,0
2016-09-15,101497,1002204,false,Liefmans Fruitesse 24/25cl,48,FLES,33.16,0
2016-09-15,101497,1002357,false,Rochefort 10 24/33cl,24,FLES,34.97,0
2016-09-15,101497,1002530,false,Westmalle Tripel 24/33cl,48,FLES,43.3,0
2016-09-15,101497,1004945,false,De Ranke Saison De Dottignies 24/33cl,24,FLES,19.55,0
2016-09-15,101497,1005041,false,Omer 24/33cl,24,FLES,21.22,0
2016-09-15,101497,1006646,false,Cornet Oaked,24,FLES,21.37,0
2016-09-15,101497,1008727,false,Saison Dupont Dry Hopping KeyKeg,1,KEYKEG,49.85,0
2016-09-15,101497,98,false,Retour leeggoed,-1,STUK,-82.7,0
2016-09-15,101497,E240,true,"Leeggoed € 2,4",1,STUK,2.4,0
2016-09-15,101497,E450,true,"Leeggoed € 4,50",14,STUK,63,0
2016-09-15,101988,1001428,false,"Boon Oude Gueuze 12/37,5cl",60,FLES,74.05,0
2016-09-15,101988,1001438,false,Boon Gueuze Mariage Parf. 12/37.5cl,60,FLES,98.32,0
2016-09-15,101988,1001439,false,Boon Gueuze Mariage Parf. OW 12/75cl,60,FLES,199.58,0
2016-09-15,101988,1001440,false,Boon Kriek Mariage Parf. 12/37.5cl,60,FLES,150.22,0
2016-09-15,101988,1001457,false,Cantillon grand cru Bruoc. 6/75cl,6,FLES,41.42,0
2016-09-15,101988,1001500,false,Lindemans Apple 24/25cl,72,FLES,35.97,0
